"","GEOID","year","tech","info","prof","per","total"
"147",90312,2005,0,0,0,0,18
"148",90401,2005,3954,1421,2533,17.01,23249
"149",90402,2005,153,40,113,11.05,1385
"150",90403,2005,968,272,696,12.37,7827
"151",90404,2005,9116,5206,3910,35.42,25734
"152",90405,2005,3202,811,2391,19.96,16045
"153",90406,2005,0,0,0,0,42
"154",90407,2005,0,0,0,0,1019
"155",90408,2005,0,0,0,0,155
"156",90409,2005,0,0,0,0,8
"157",90410,2005,0,0,0,0,125
"158",90501,2005,3044,618,2426,11.32,26881
"159",90502,2005,513,0,513,4.25,12082
"160",90503,2005,2513,453,2060,8.4,29914
"161",90504,2005,374,57,317,3.63,10297
"162",90505,2005,2702,717,1985,8.79,30745
"163",90506,2005,0,0,0,0,1127
"164",90507,2005,0,0,0,0,91
"165",90508,2005,0,0,0,0,35
"166",90509,2005,33,0,33,0.55,5986
"167",90510,2005,0,0,0,0,88
"168",90601,2005,220,24,196,2.06,10671
"169",90602,2005,918,15,903,11.72,7830
"170",90603,2005,183,8,175,2.4,7629
"171",90604,2005,202,0,202,8.96,2254
"172",90605,2005,258,24,234,3.33,7754
"173",90606,2005,177,26,151,2.98,5949
"174",90607,2005,0,0,0,0,322
"175",90608,2005,0,0,0,0,2266
"176",90609,2005,0,0,0,0,3
"177",90610,2005,0,0,0,0,25
"178",90623,2005,106,0,106,1.97,5388
"179",90630,2005,2326,482,1844,10.8,21536
"180",90631,2005,348,100,248,2.23,15571
"181",90637,2005,0,0,0,0,286
"182",90638,2005,643,87,556,3.35,19173
"183",90639,2005,0,0,0,0,100
"184",90640,2005,460,130,330,2.07,22198
"185",90650,2005,591,242,349,2.69,21951
"186",90651,2005,0,0,0,0,125
"187",90652,2005,0,0,0,0,4
"188",90660,2005,250,20,230,1.83,13636
"189",90661,2005,0,0,0,0,43
"190",90662,2005,0,0,0,0,10
"191",90670,2005,1732,392,1340,3.11,55619
"192",90671,2005,0,0,0,0,1
"193",90701,2005,1747,263,1484,11.78,14836
"194",90702,2005,4,0,4,0.57,703
"195",90703,2005,2544,875,1669,9.22,27588
"196",90704,2005,0,0,0,0,2492
"197",90706,2005,585,355,230,4.21,13909
"198",90707,2005,0,0,0,0,114
"199",90710,2005,135,9,126,1.94,6971
"200",90711,2005,0,0,0,0,37
"201",90712,2005,440,291,149,3.17,13892
"202",90713,2005,37,0,37,1.08,3437
"203",90714,2005,0,0,0,0,1149
"204",90715,2005,11,0,11,1.31,837
"205",90716,2005,5,0,5,0.16,3211
"206",90717,2005,133,34,99,4.44,2995
"207",90723,2005,410,84,326,2.6,15775
"208",90731,2005,624,77,547,5.54,11254
"209",90732,2005,148,0,148,5.1,2902
"210",90733,2005,0,0,0,0,334
"211",90734,2005,0,0,0,0,17
"212",90744,2005,78,18,60,0.81,9654
"213",90745,2005,527,225,302,3.47,15189
"214",90746,2005,979,574,405,7.92,12360
"215",90747,2005,0,0,0,0,1814
"216",90748,2005,0,0,0,0,581
"217",90749,2005,0,0,0,0,1107
"218",90755,2005,549,49,500,9.26,5929
"219",90801,2005,31,0,31,0.27,11391
"220",90802,2005,3330,876,2454,10.18,32705
"221",90803,2005,599,146,453,6.97,8591
"222",90804,2005,513,18,495,6.17,8314
"223",90805,2005,269,74,195,2.52,10657
"224",90806,2005,889,47,842,5.17,17198
"225",90807,2005,1116,249,867,8.13,13733
"226",90808,2005,606,408,198,7.87,7701
"227",90809,2005,0,0,0,0,56
"228",90810,2005,1371,0,1371,6.63,20675
"229",90813,2005,217,0,217,2.06,10542
"230",90814,2005,59,16,43,4.31,1368
"231",90815,2005,361,0,361,3.29,10982
"232",90822,2005,89,0,89,14.02,635
"233",90831,2005,471,221,250,31.19,1510
"234",90832,2005,0,0,0,0,14
"235",90835,2005,0,0,0,0,82
"236",90840,2005,0,0,0,0,4924
"237",90846,2005,182,0,182,1.98,9198
"238",91001,2005,399,161,238,12.6,3166
"239",91003,2005,0,0,0,0,16
"240",91006,2005,1002,173,829,7.98,12564
"241",91007,2005,772,129,643,7.11,10863
"242",91008,2005,0,0,0,0,3
"243",91009,2005,0,0,0,0,414
"244",91010,2005,1122,0,1122,11.88,9445
"245",91011,2005,360,112,248,6.45,5583
"246",91012,2005,0,0,0,0,8
"247",91016,2005,2196,570,1626,12.8,17158
"248",91017,2005,0,0,0,0,275
"249",91020,2005,163,44,119,6.93,2353
"250",91021,2005,0,0,0,0,37
"251",91024,2005,99,8,91,6.88,1439
"252",91025,2005,0,0,0,0,22
"253",91030,2005,665,45,620,9.07,7328
"254",91040,2005,198,72,126,9.21,2151
"255",91041,2005,0,0,0,0,28
"256",91042,2005,170,88,82,9.11,1867
"257",91043,2005,0,0,0,0,36
